node_i,node_j,exact_energy,projected_energy,residual_norm,reachable_rank
0,1,inf,17314.725666601513,0.0009054775665901166,13
0,2,inf,8879.151766416411,0.0008256892690986853,13
0,3,inf,6474.917359957091,0.0006885711258493756,13
0,4,inf,2604.696450720516,0.0007202260680851668,13
0,5,inf,4145.470627431124,0.0008164801245984361,13
0,6,inf,11489.19223824303,0.0009164370806070409,13
0,7,inf,62337.29670502317,0.0009428600635500516,13
0,8,inf,59127.14729601345,0.0008491590684037907,13
0,9,inf,22070.008657045797,0.0007944780352567595,13
0,10,inf,5148.186589555234,0.0006747735865658037,13
0,11,inf,34364.940508742875,0.0004933074763425336,14
0,12,inf,96779.29207268353,0.0004198839496599679,14
0,13,inf,4116.720105503135,0.00065362832831049,13
0,14,inf,14824.712164021592,0.0007613377523250027,13
0,15,inf,87766.42778055654,0.0008190365326284625,13
0,16,inf,18258.82104780609,0.0007632252069128158,13
0,17,inf,15975.998177916461,0.0006384210421709139,13
0,18,inf,92234.35388506307,0.00036682742746246117,14
0,19,inf,41300.51490529057,0.00023728639756305154,15
0,20,inf,58457.90759732425,0.00027444817767180977,15
0,21,inf,111808.74836749064,0.0003946198691449774,15
0,22,inf,12484.936632893443,0.0005908138480786369,14
0,23,inf,71096.33787564521,0.0006745037784230183,14
0,24,inf,34313.13673587045,0.0005702765060223614,14
0,25,inf,19417.91471856897,0.00041673405083845246,14
0,26,inf,4688.064484635199,0.00029387938753428676,14
0,27,inf,8141.448122040454,0.00021493635524382567,15
0,28,inf,11794.377558479218,0.00023171559361464286,15
0,29,inf,14915.432953274016,0.00024371562900768454,15
0,30,inf,10759.238434377778,0.000376836986265244,14
0,31,inf,47845.404467470784,0.0005160604738649532,14
0,32,inf,18585.096356777074,0.0003607132232953777,14
0,33,inf,7702.277612663584,0.0002521704434125588,14
0,34,inf,786.7674277797757,0.00021179253033809558,14
0,35,inf,145.45098966340905,0.00020916851419673201,15
0,36,inf,211.9010093067197,0.00019019601616511022,15
0,37,inf,345.01703779405454,0.00017099926801729151,15
0,38,inf,4075.561574085641,0.00019801338595433265,14
0,39,inf,34313.910248149536,0.00029714762065294814,14
0,40,inf,9979.618450860704,0.00023002620204175665,14
0,41,inf,2705.022376673098,0.00023189256218630682,14
0,42,inf,2736.288392826077,0.0002414737105243035,14
0,43,inf,2551.054921268687,0.000253928641223343,14
0,44,inf,2514.2105865247645,0.00022163488259741961,14
0,45,inf,2378.2875667514827,0.00021966778968866743,14
0,46,inf,3530.008305090962,0.00021278754895861964,14
0,47,inf,24992.83121325607,0.00022754300334360558,14
0,48,inf,17033.01051292729,0.000429967902528586,14
0,49,inf,14262.586850769396,0.0003784247854954866,14
0,50,inf,2216.389737107815,0.00027744561799107994,14
0,51,inf,762.70269640262,0.00020477193678768014,14
0,52,inf,599.5820077765799,0.00020232685985802326,14
0,53,inf,2841.8299800792474,0.0002117823528288272,14
0,54,inf,13399.848021009546,0.00033451346964695754,14
0,55,inf,30965.535055228007,0.00040568151017735833,14
0,56,inf,36415.079274007185,0.0005467625590137302,14
0,57,inf,20363.672317830857,0.0004316257889293472,14
0,58,inf,8162.179400910409,0.0003366030433480036,14
0,59,inf,2903.481977034685,0.0002335386584095461,14
0,60,inf,4712.898453754186,0.0003036208942405512,14
0,61,inf,8292.91346664891,0.0003372326071474895,14
0,62,inf,17666.1585351249,0.00039583414884039267,14
0,63,inf,46016.96114150824,0.0004939074784715063,14
1,2,inf,19093.645263065217,0.0007964929945453171,13
1,3,inf,6228.925114642958,0.0006881139719148499,13
1,4,inf,2387.5614162031575,0.0007266257368087024,13
1,5,inf,53531.47362244339,0.0007764884680078667,14
1,6,inf,19898.667771428984,0.0008923146254719856,14
1,7,inf,11192.317783458819,0.0009106623081128886,13
1,8,inf,19373.98579447018,0.000862133448519016,13
1,9,inf,14993.427553989783,0.0007728343575996531,13
1,10,inf,36724.67461409975,0.000636408150397391,14
1,11,inf,20806.53257726346,0.0004939482969962401,14
1,12,inf,104051.85558468715,0.00042745316425245517,15
1,13,inf,4870.091123820565,0.0006552935754537593,14
1,14,inf,16182.322041695716,0.0007636728270969206,14
1,15,inf,63776.90396268836,0.0008219402915155436,14
1,16,inf,112101.09622489155,0.0006601098515121168,14
1,17,inf,31926.402995382025,0.0005931907073964372,14
1,18,inf,136855.51626494766,0.0003251891173450755,15
1,19,inf,35928.82392386612,0.00024742809619611667,15
1,20,inf,53123.40051705567,0.0002845321870585152,15
1,21,inf,98838.89650934178,0.00040699523022201756,15
1,22,inf,13788.232044466089,0.0005890050909542506,14
1,23,inf,66076.92283656159,0.0006804907920996008,14
1,24,inf,45676.506259380454,0.000525111410711067,14
1,25,inf,15434.934626849052,0.00040976684098026865,14
1,26,inf,36337.194252852016,0.00024310031076004668,15
1,27,inf,6144.795770757573,0.00022809887046946437,15
1,28,inf,10657.599526158103,0.0002380390252987654,15
1,29,inf,13884.38925936137,0.00024368068177740395,15
1,30,inf,11040.708143055588,0.0003784551540456801,14
1,31,inf,47501.9865268926,0.0005166711100149836,14
1,32,inf,19803.19518763717,0.000352208704492989,14
1,33,inf,6962.784275463358,0.00025532809463009606,14
1,34,inf,531.1990617165383,0.00022503480775581483,14
1,35,inf,371.2551061100325,0.00021870046068409146,14
1,36,inf,29.608911175356827,0.00019810125113404518,15
1,37,inf,191.7721685818617,0.00017813751788102269,15
1,38,inf,4135.707271328992,0.0002017130805785045,14
1,39,inf,35447.83664017475,0.00030180542944106896,14
1,40,inf,4448.701330102833,0.0002130343070348656,14
1,41,inf,3682.6741624184942,0.0002050628431602356,14
1,42,inf,1307.2302269136778,0.00023073516189062168,14
1,43,inf,1952.3049471875179,0.0002296388021204508,14
1,44,inf,962.0397803352072,0.00021843298390812057,14
1,45,inf,1048.8238543506243,0.00021231072550530625,14
1,46,inf,2123.5575289116546,0.0002020144870672791,14
1,47,inf,22373.228254674294,0.0002106747257808219,14
1,48,inf,9190.294523222758,0.0003174678993983504,14
1,49,inf,5976.724673296668,0.00032519136225779837,14
1,50,inf,2429.0283254700716,0.00027334309750370634,14
1,51,inf,618.1359030990884,0.00022299356305742108,14
1,52,inf,287.0394050455282,0.00021805064917151043,14
1,53,inf,1681.379813988823,0.0002189416657851356,14
1,54,inf,7269.722726346071,0.0002859243267338339,14
1,55,inf,21539.595225502424,0.000323178333146893,14
1,56,inf,20363.776245029505,0.0004316253332023541,14
1,57,inf,11341.726999797735,0.0003536297429055039,14
1,58,inf,3874.860673407887,0.00030302584404034744,14
1,59,inf,1477.1596045121046,0.0002418880456842878,14
1,60,inf,2585.48136998094,0.00028724913984183494,14
1,61,inf,3999.6795513721117,0.0002889230177925069,14
1,62,inf,9634.857143058547,0.000318624365003182,14
1,63,inf,31482.713962138776,0.00038576145197172977,14
2,3,inf,11600.767408564838,0.0006601031337658142,13
2,4,inf,4143.436437137646,0.00071004921354567,14
2,5,inf,123263.17227947,0.0007214964146251158,15
2,6,inf,123729.84033646433,0.0007542195902628303,14
2,7,inf,2819.5963300465246,0.0008603092232853729,13
2,8,inf,12118.609575396003,0.0008116584795622718,13
2,9,inf,59715.88156716509,0.0007082345948248261,14
2,10,inf,16850.93398776974,0.000657482873882012,14
2,11,inf,11339.079474573544,0.0004977817565140606,14
2,12,inf,107598.28675662662,0.00044770853001411273,15
2,13,inf,4181.46519213713,0.0006594183825709177,14
2,14,inf,25353.82094003174,0.0007633414127818461,14
2,15,inf,116754.13594961847,0.0007791210298707149,14
2,16,inf,131595.64806801436,0.0006227595041998219,14
2,17,inf,20041.855580963733,0.0005723691744816935,14
2,18,inf,130309.20077756605,0.00034045603109669525,15
2,19,inf,42416.85203804012,0.0002578458793223503,15
2,20,inf,56831.55995544018,0.00029768008702226237,15
2,21,inf,2281.9363542601723,0.0005159579216265542,14
2,22,inf,13504.126428289417,0.0005936115748335748,14
2,23,inf,70877.08543536182,0.0006840708057711415,14
2,24,inf,39641.99292839653,0.0004980890102011294,14
2,25,inf,11007.557065514467,0.0004222013005034736,14
2,26,inf,30065.270320108826,0.0002588711244272454,15
2,27,inf,5127.910180608399,0.00025042732815713304,15
2,28,inf,10536.66609713542,0.00024435519969942483,15
2,29,inf,14455.498906127228,0.00024370932320540663,15
2,30,inf,10531.79371257565,0.0003858931295219084,14
2,31,inf,49395.54312631963,0.0005110398375379049,14
2,32,inf,17654.5176302792,0.00035743312997341413,14
2,33,inf,6353.348921625078,0.000274400561625273,14
2,34,inf,534.1641479345659,0.00024455805125519266,14
2,35,inf,190.54960343029472,0.00023844688275833454,14
2,36,inf,38.14613274477899,0.0002127990460123717,14
2,37,inf,303.0150490210961,0.00019586708988985753,15
2,38,inf,4199.698609217243,0.00021493756775755032,14
2,39,inf,37056.99522125429,0.0003126777743535297,14
2,40,inf,3607.0364647776432,0.000208938289755592,14
2,41,inf,1295.6526224893792,0.00021328249405709983,14
2,42,inf,399.6430276321366,0.00023164571405677255,14
2,43,inf,386.4763386616562,0.00022404030537531865,14
2,44,inf,60.739363623789146,0.00024137562367270641,14
2,45,inf,67.07566747413624,0.00023187310229122663,14
2,46,inf,1074.6256902663608,0.00022050186473794941,14
2,47,inf,20150.825917088183,0.0002281008125348998,14
2,48,inf,1278.059601790775,0.00023137815746324388,14
2,49,inf,1193.864208622657,0.00024163730975443183,14
2,50,inf,13890.060734954051,0.00024170895070894048,15
2,51,inf,468.47820684292174,0.0002496121241028481,14
2,52,inf,170.19716473531372,0.00024430003268258063,14
2,53,inf,702.0530568218634,0.00024148715155099308,14
2,54,inf,2313.8378555771997,0.00026123263371623164,14
2,55,inf,13497.689961697086,0.00027445164376418865,14
2,56,inf,8162.335453209018,0.00033660224802307053,14
2,57,inf,3874.859089626647,0.0003030258585090572,14
2,58,inf,733.1183693709487,0.000280893285126461,14
2,59,inf,417.1326478042414,0.00025936241688162125,14
2,60,inf,439.57294922497505,0.00027006097780644635,14
2,61,inf,549.5630526853153,0.0002577218306287122,14
2,62,inf,3211.81988764801,0.00026717165014380513,14
2,63,inf,19127.433454585993,0.00030377137000513584,14
3,4,inf,10203.224368097794,0.0006706566890285152,14
3,5,inf,21186.254097504654,0.0006974823930132556,14
3,6,inf,2804.739863752308,0.0007259561278088284,13
3,7,inf,2813.1518485641323,0.0007260860900065073,13
3,8,inf,4862.700502042973,0.0006927386853426247,13
3,9,inf,6588.009936289607,0.0006808093155147152,13
3,10,inf,44884.09313819266,0.00059031721779233,14
3,11,inf,55965.432330560514,0.00046645355281975766,14
3,12,inf,21561.894295155078,0.0005426420284642003,14
3,13,inf,15638.434917673398,0.000640381493206712,14
3,14,inf,133251.87768860935,0.0006172308834730766,14
3,15,inf,2854.043811270414,0.0007253866537147153,13
3,16,inf,4039.755211708871,0.0006954387630523666,13
3,17,inf,36946.78864834877,0.0005097260779004018,14
3,18,inf,9096.143922841584,0.00046653617983522276,14
3,19,inf,38610.29644131289,0.00026037481088579293,15
3,20,inf,64587.86107950395,0.000286749696391774,15
3,21,inf,5100.181584022119,0.0004764229440154601,14
3,22,inf,22734.429638215242,0.0005712245260396148,14
3,23,inf,110308.31802109351,0.0006110950512813816,14
3,24,inf,49702.18971685797,0.0004655854560043961,14
3,25,inf,10119.927761316936,0.00041406223378926,14
3,26,inf,28718.023695379572,0.00028032327498831697,15
3,27,inf,9943.03085612469,0.0002606501643921039,15
3,28,inf,3644.487258167218,0.0002416056765088244,15
3,29,inf,19017.284813247672,0.00023254526814344293,15
3,30,inf,10568.800540984925,0.00038648112740066813,14
3,31,inf,64423.594724668146,0.0004981563385666652,14
3,32,inf,15572.324772275986,0.00035325860672073573,14
3,33,inf,6638.540857173752,0.0002774682601259529,14
3,34,inf,572.4860901803905,0.00025092530100713576,14
3,35,inf,140.93136490491395,0.00025872154475333874,14
3,36,inf,65.82708780279054,0.00021580225831928718,14
3,37,inf,226.36659290571163,0.00020332949844273812,14
3,38,inf,4292.857207386243,0.0002289922622761696,14
3,39,inf,39155.76560672765,0.0003256436847427679,14
3,40,inf,4023.6854103094624,0.00021582926636115496,14
3,41,inf,1651.4780342698516,0.00021970278089231157,14
3,42,inf,615.6967859135754,0.0002178357882585036,14
3,43,inf,569.6323065493518,0.0001786023024767461,14
3,44,inf,35.429637022591024,0.0002530626898992487,14
3,45,inf,73.37954004004355,0.00023821227653226325,14
3,46,inf,1211.1521527156458,0.00022691198883403266,14
3,47,inf,19570.091451861026,0.0002402948599778546,14
3,48,inf,644.294514231702,0.00015871087396828875,14
3,49,inf,417.0301242676519,0.00017379991027663053,14
3,50,inf,539.1505022840963,0.00020940022984332335,14
3,51,inf,657.1685178060528,0.00021226421353710847,14
3,52,inf,99.02523410935521,0.0002576165010718967,14
3,53,inf,283.57015874690995,0.00024224626041660408,14
3,54,inf,1150.2724161015813,0.00023804513590973902,14
3,55,inf,10424.358173048895,0.00024307846811411535,14
3,56,inf,2903.4937970814317,0.00023353857632616473,14
3,57,inf,1477.1537706681572,0.00024188816837664688,14
